Used,date,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,Predicciones
49927.0,2002-01-01,0,1,1,1,2002,1,1,1,
50982.0,2002-02-01,0,4,1,2,2002,32,1,5,
58794.0,2002-03-01,0,4,1,3,2002,60,1,9,
59817.0,2002-04-01,0,0,2,4,2002,91,1,14,
60577.0,2002-05-01,0,2,2,5,2002,121,1,18,
55415.0,2002-06-01,0,5,2,6,2002,152,1,22,
55235.0,2002-07-01,0,0,3,7,2002,182,1,27,
60310.0,2002-08-01,0,3,3,8,2002,213,1,31,
55485.0,2002-09-01,0,6,3,9,2002,244,1,35,
58020.0,2002-10-01,0,1,4,10,2002,274,1,40,
49066.0,2002-11-01,0,4,4,11,2002,305,1,44,
42461.0,2002-12-01,0,6,4,12,2002,335,1,48,
49481.0,2003-01-01,0,2,1,1,2003,1,1,1,
41048.0,2003-02-01,0,5,1,2,2003,32,1,5,
56513.0,2003-03-01,0,5,1,3,2003,60,1,9,
61856.0,2003-04-01,0,1,2,4,2003,91,1,14,
61742.0,2003-05-01,0,3,2,5,2003,121,1,18,
59904.0,2003-06-01,0,6,2,6,2003,152,1,22,
62811.0,2003-07-01,0,1,3,7,2003,182,1,27,
60829.0,2003-08-01,0,4,3,8,2003,213,1,31,
58279.0,2003-09-01,0,0,3,9,2003,244,1,36,
62417.0,2003-10-01,0,2,4,10,2003,274,1,40,
50655.0,2003-11-01,0,5,4,11,2003,305,1,44,
49823.0,2003-12-01,0,0,4,12,2003,335,1,49,
46427.0,2004-01-01,0,3,1,1,2004,1,1,1,
50842.0,2004-02-01,0,6,1,2,2004,32,1,5,
68766.0,2004-03-01,0,0,1,3,2004,61,1,10,
64059.0,2004-04-01,0,3,2,4,2004,92,1,14,
58589.0,2004-05-01,0,5,2,5,2004,122,1,18,
65073.0,2004-06-01,0,1,2,6,2004,153,1,23,
60994.0,2004-07-01,0,3,3,7,2004,183,1,27,
61106.0,2004-08-01,0,6,3,8,2004,214,1,31,
60238.0,2004-09-01,0,2,3,9,2004,245,1,36,
57046.0,2004-10-01,0,4,4,10,2004,275,1,40,
54654.0,2004-11-01,0,0,4,11,2004,306,1,45,
51883.0,2004-12-01,0,2,4,12,2004,336,1,49,
49534.0,2005-01-01,0,5,1,1,2005,1,1,53,
51666.0,2005-02-01,0,1,1,2,2005,32,1,5,
65088.0,2005-03-01,0,1,1,3,2005,60,1,9,
61977.0,2005-04-01,0,4,2,4,2005,91,1,13,
